# Scan Time    : Fri, 18 Mar 2022 11:42:53 +0000 (GMT) +834035000 nsec
# Board Lane   : 7
# Board Loc    : BTOF - Northwest
# SiPM Biases  :  58.265  58.216  58.422  58.633
# SiPM Currents:   2.085   1.961   2.081   2.146
#
1 -1 101.7 0.00010 0.00010 1.21000      0          0.0 999.9990
1 -1 101.7 0.00030 0.00029 1.21000      0          0.0 999.9990
1 -1  26.4 0.01670 0.01670 0.00562  25854    4599334.7 0.0062
1 -1  26.4 0.01690 0.01689 0.00562  24652    4385503.2 0.0064
1 -1  26.4 0.01710 0.01709 0.00562  23168    4121504.8 0.0066
1 -1  26.4 0.01730 0.01729 0.00562  21604    3843274.8 0.0068
1 -1  26.4 0.01750 0.01748 0.00562  19848    3530888.7 0.0071
1 -1  26.4 0.01770 0.01768 0.00562  17966    3196087.5 0.0075
1 -1  26.4 0.01790 0.01787 0.00562  16252    2891173.0 0.0078
1 -1  26.4 0.01810 0.01807 0.00562  14194    2525062.1 0.0084
1 -1  26.4 0.01830 0.01826 0.00562  12374    2201290.6 0.0090
1 -1  26.4 0.01850 0.01846 0.00562  11008    1958284.1 0.0095
1 -1  26.4 0.01870 0.01865 0.00562   9802    1743741.0 0.0101
1 -1  26.4 0.01890 0.01895 0.00562   8350    1485435.3 0.0109
1 -1  26.4 0.01910 0.01914 0.00562   7618    1355215.1 0.0115
1 -1  26.4 0.01930 0.01934 0.00562   7066    1257016.3 0.0119
1 -1  26.4 0.01950 0.01953 0.00562   6594    1173049.2 0.0123
1 -1  26.4 0.01970 0.01973 0.00562   6270    1115410.7 0.0126
1 -1  26.4 0.01990 0.01992 0.00562   6010    1069157.6 0.0129
1 -1  26.4 0.02010 0.02012 0.00562   5700    1014009.7 0.0132
1 -1  26.4 0.02030 0.02031 0.00562   5348     951390.2 0.0137
1 -1  26.4 0.02050 0.02051 0.00562   5194     923994.1 0.0139
1 -1  26.4 0.02070 0.02070 0.00562   4990     887703.3 0.0142
1 -1  26.4 0.02090 0.02090 0.00562   4876     867423.1 0.0143
1 -1  26.4 0.02110 0.02109 0.00562   4658     828641.6 0.0147
1 -1  26.4 0.02130 0.02129 0.00562   4500     800534.0 0.0149
1 -1  26.4 0.02150 0.02148 0.00562   4352     774205.3 0.0152
1 -1  26.4 0.02170 0.02168 0.00562   4240     754280.9 0.0154
1 -1  26.4 0.02190 0.02188 0.00562   4132     735068.1 0.0156
1 -1  26.4 0.02210 0.02207 0.00562   4126     734000.7 0.0156
1 -1  26.4 0.02230 0.02227 0.00562   3858     686324.5 0.0161
1 -1  26.4 0.02250 0.02246 0.00562   3728     663197.9 0.0164
1 -1  26.4 0.02270 0.02266 0.00562   3500     622637.6 0.0169
1 -1  26.4 0.02290 0.02285 0.00562   3460     615521.7 0.0170
1 -1  26.4 0.02310 0.02314 0.00562   3178     565354.9 0.0177
1 -1  26.4 0.02330 0.02334 0.00562   3060     544363.1 0.0181
1 -1  26.4 0.02350 0.02354 0.00562   3002     534045.1 0.0183
1 -1  26.4 0.02370 0.02373 0.00562   2838     504870.1 0.0188
1 -1  26.4 0.02390 0.02393 0.00562   2626     467156.1 0.0195
1 -1  26.4 0.02410 0.02412 0.00562   2496     444029.5 0.0200
1 -1  26.4 0.02430 0.02432 0.00562   2310     410940.8 0.0208
1 -1  26.4 0.02450 0.02451 0.00587   2260     385037.7 0.0210
1 -1  26.4 0.02470 0.02471 0.00647   2272     350970.2 0.0210
1 -1  26.4 0.02490 0.02490 0.00715   2306     322551.9 0.0208
1 -1  26.4 0.02510 0.02510 0.00788   2244     284816.9 0.0211
1 -1  26.4 0.02530 0.02529 0.00879   2244     255335.4 0.0211
1 -1  26.4 0.02550 0.02549 0.00941   2254     239443.0 0.0211
1 -1  26.4 0.02570 0.02568 0.01093   2390     218697.6 0.0205
1 -1  26.4 0.02590 0.02588 0.01202   2288     190331.0 0.0209
1 -1  26.4 0.02610 0.02607 0.01352   2320     171637.7 0.0208
1 -1  26.4 0.02630 0.02627 0.01440   2302     159904.5 0.0208
1 -1  26.4 0.02650 0.02646 0.01580   2256     142772.7 0.0211
1 -1  26.4 0.02670 0.02666 0.01750   2426     138606.5 0.0203
1 -1  26.4 0.02690 0.02686 0.01833   2246     122547.4 0.0211
1 -1  26.4 0.02710 0.02715 0.02027   2272     112086.3 0.0210
